tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
988,2017-06-28 08:57:51,2017-06-28 09:14:19,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,16137,Subscriber,1996,female,""
822,2016-09-17 00:00:37,2016-09-17 00:14:19,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,514,12 Ave & W 40 St,40.76087502,-74.00277668,22244,Subscriber,1943,male,""
733,2014-06-24 12:05:21,2014-06-24 12:17:34,526,E 33 St & 5 Ave,40.74765947,-73.98490707,515,W 43 St & 10 Ave,40.76009437,-73.99461843,14558,Subscriber,1950,male,""
300,2017-10-07 17:29:02,2017-10-07 17:34:03,174,E 25 St & 1 Ave,40.7381765,-73.97738662,297,E 15 St & 3 Ave,40.734232,-73.986923,17615,Subscriber,1996,male,""
777,2018-01-26 22:17:48.430,2018-01-26 22:30:45.918,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,332,Cherry St,40.71219906,-73.97948148,18927,Subscriber,1947,male,""
502,2013-08-24 10:47:56,2013-08-24 10:56:18,295,Pike St & E Broadway,40.71406667,-73.99293911,342,Columbia St & Rivington St,40.71739973,-73.98016555,15001,Subscriber,1946,male,""
404,2013-09-11 08:50:07,2013-09-11 08:56:51,472,E 32 St & Park Ave,40.7457121,-73.98194829,485,W 37 St & 5 Ave,40.75038009,-73.98338988,19921,Subscriber,1948,male,""
173,2016-07-25 18:45:40,2016-07-25 18:48:33,3016,Kent Ave & N 7 St,40.720367752984551,-73.961650729179382,3092,Berry St & N 8 St,40.7190095,-73.95852515,17904,Subscriber,1910,male,""
594,2016-04-12 17:33:41,2016-04-12 17:43:35,359,E 47 St & Park Ave,40.75510267,-73.97498696,479,9 Ave & W 45 St,40.76019252,-73.9912551,16766,Subscriber,1951,male,""
1989,2014-06-29 17:27:12,2014-06-29 18:00:21,478,11 Ave & W 41 St,40.76030096,-73.99884222,499,Broadway & W 60 St,40.76915505,-73.98191841,16275,Subscriber,1951,male,""
185,2015-11-07 11:30:12,2015-11-07 11:33:18,326,E 11 St & 1 Ave,40.72953837,-73.98426726,357,E 11 St & Broadway,40.73261787,-73.99158043,22551,Subscriber,1996,male,""
219,2016-04-16 09:16:32,2016-04-16 09:20:12,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3158,W 63 St & Broadway,40.77163851,-73.98261428,15797,Subscriber,1917,male,""
695,2017-10-12 13:00:22,2017-10-12 13:11:57,3384,Smith St & 3 St,40.6787242,-73.99599099,3342,Pioneer St & Richards St,40.6777748,-74.0094613,28184,Subscriber,2000,male,""
2169,2017-04-18 15:57:32,2017-04-18 16:33:41,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,514,12 Ave & W 40 St,40.76087502,-74.00277668,27959,Subscriber,1952,male,""
936,2015-10-01 16:09:39,2015-10-01 16:25:16,297,E 15 St & 3 Ave,40.734232,-73.986923,307,Canal St & Rutgers St,40.71427487,-73.98990025,18366,Subscriber,1949,female,""
621,2014-10-25 21:12:17,2014-10-25 21:22:38,417,Barclay St & Church St,40.71291224,-74.01020234,238,Bank St & Washington St,40.7361967,-74.00859207,19785,Subscriber,1997,female,""
555,2017-08-03 18:43:37,2017-08-03 18:52:53,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,453,W 22 St & 8 Ave,40.74475148,-73.99915362,21129,Subscriber,2000,male,""
356,2015-05-21 14:19:46,2015-05-21 14:25:43,445,E 10 St & Avenue A,40.72740794,-73.98142006,439,E 4 St & 2 Ave,40.7262807,-73.98978041,15617,Subscriber,1997,female,""
955,2018-04-07 00:34:28.695,2018-04-07 00:50:23.787,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836029,3474,6 Ave & Spring St,40.7252556952547,-74.004120826721191,18426,Customer,1997,male,""
886,2014-11-12 23:00:03,2014-11-12 23:14:49,515,W 43 St & 10 Ave,40.76009437,-73.99461843,160,E 37 St & Lexington Ave,40.748238,-73.978311,20105,Subscriber,1947,male,""
621,2017-11-19 20:34:20,2017-11-19 20:44:42,305,E 58 St & 3 Ave,40.76095756,-73.96724467,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,20132,Subscriber,1950,female,""
